Addition title,NH,ArH 1,ArH 2,,Stock 1 volume (uL),Stock 2 volume (uL),,,Stock 1,Stock 2
FHNMR-43.12.fid,9.87242,8.55347,6.83022,,600,0,,[Host] (mM),0.208377,0.208377
FHNMR-43.13.fid,9.94166,8.52114,6.83254,,600,2.5,,[Guest] (mM),0,92.2725
FHNMR-43.14.fid,10.0068,8.49054,6.83434,,600,5,,,,
FHNMR-43.15.fid,10.1172,8.43688,6.83665,,600,10,,,,
FHNMR-43.16.fid,10.1987,8.39688,6.83861,,600,15,,,,
FHNMR-43.17.fid,10.2626,8.36657,6.8409,,600,20,,,,
FHNMR-43.18.fid,10.3533,8.3222,6.84355,,600,30,,,,
FHNMR-43.19.fid,10.4134,8.29082,6.84524,,600,40,,,,
FHNMR-43.20.fid,10.491,8.25294,6.84809,,600,60,,,,
FHNMR-43.21.fid,10.5332,8.22981,6.84986,,600,80,,,,
FHNMR-43.22.fid,10.5783,8.2059,6.85314,,600,120,,,,
FHNMR-43.23.fid,10.6171,8.17928,6.85668,,600,200,,,,
FHNMR-43.24.fid,10.6322,8.16567,6.86,,600,300,,,,
