Addition title,31P ppm,,Stock 1 volume (uL),Stock 2 volume (uL),Stock 3 volume (uL),,,Stock 1,Stock 2,Stock 3
1,27.2659,,600,0,0,,[Host] (mM),1.1102,1.1102,1.1102
2,27.4301,,600,1,0,,[Guest] (mM),0,25,187.5
3,27.5971,,600,2,0,,,,,
4,27.9362,,600,4,0,,,,,
5,28.2769,,600,6,0,,,,,
6,28.598,,600,8,0,,,,,
7,28.9292,,600,10,0,,,,,
8,29.2195,,600,12,0,,,,,
9,29.5327,,600,14,0,,,,,
10,29.802,,600,16,0,,,,,
11,30.0583,,600,18,0,,,,,
12,30.2919,,600,20,0,,,,,
13,30.4936,,600,22,0,,,,,
14,30.6596,,600,24,0,,,,,
15,30.7912,,600,26,0,,,,,
16,30.8917,,600,28,0,,,,,
17,30.9753,,600,30,0,,,,,
18,31.0548,,600,33,0,,,,,
19,31.1154,,600,36,0,,,,,
20,31.1592,,600,39,0,,,,,
21,31.1886,,600,42,0,,,,,
22,31.218,,600,45,0,,,,,
23,31.2334,,600,48,0,,,,,
24,31.2509,,600,51,0,,,,,
25,31.2669,,600,54,0,,,,,
26,31.2771,,600,57,0,,,,,
27,31.2916,,600,60,0,,,,,
28,31.299,,600,63,0,,,,,
29,31.3091,,600,66,0,,,,,
30,31.3167,,600,69,0,,,,,
31,31.3212,,600,72,0,,,,,
32,31.3284,,600,75,0,,,,,
33,31.3339,,600,78,0,,,,,
34,31.339,,600,81,0,,,,,
35,31.3537,,600,85,0,,,,,
36,31.3581,,600,90,0,,,,,
37,31.367,,600,95,0,,,,,
38,31.3726,,600,199,0,,,,,
39,31.3885,,600,110,0,,,,,
40,31.4086,,600,130,0,,,,,
41,31.4329,,600,160,0,,,,,
42,31.4668,,600,200,0,,,,,
43,31.5004,,600,250,0,,,,,
44,31.5485,,600,350,0,,,,,
45,31.5995,,600,500,0,,,,,
46,31.6521,,600,700,0,,,,,
47,31.6788,,600,700,10,,,,,
48,31.7847,,600,700,50,,,,,
49,31.9908,,600,700,150,,,,,
50,32.2321,,600,700,300,,,,,
51,32.4796,,600,700,500,,,,,
52,32.8138,,600,700,980,,,,,
